idx,value
1255,6406
1256,6662
1257,6788
1258,6714
1259,6664
1260,6732
1261,6732
1262,6166
1263,6110
1264,6106
1265,6162
1266,6142
1267,6126
1268,6350
1269,6192
1270,6350
1271,6404
1272,6302
1273,6238
1274,5905
1275,5845
1276,5881
1277,5817
1278,5881
1279,5901
1280,6019
1281,5901
1282,5795
1283,5755
1284,5815
1285,5815
1286,5701
1287,5701
1288,5701
1289,5849
1290,5767
1291,5815
1292,5801
1293,5463
1294,5427
1295,5436
1296,5446
1297,5436
1298,5454
1299,5454
1300,5484
1301,5344
1302,5266
1303,5294
1304,5338
1305,5303
1306,5675
1307,5675
1308,5769
1309,5957
1310,5981
1311,6009
1312,6019
1313,5627
1314,5773
1315,5573
1316,5597
1317,5581
1318,5665
1319,5525
1320,5437
1321,5481
1322,5481
1323,5579
1324,5595
1325,5457
1326,5443
1327,5503
1328,5565
1329,5589
1330,5687
1331,5483
1332,5621
1333,5705
1334,5715
1335,5665
1336,5984
1337,5960
1338,5914
1339,5824
1340,5918
1341,5928
1342,5957
1343,5903
1344,5859
1345,5844
1346,5856
1347,5856
1348,5896
1349,5878
1350,5868
1351,6000
1352,6036
1353,5990
1354,6062
1355,6062
1356,6242
1357,6226
1358,6324
1359,6263
1360,6207
1361,6219
1362,6227
1363,6199
1364,6263
1365,6269
1366,6269
1367,6249
1368,6271
1369,6163
1370,6077
1371,5923
1372,5927
1373,5919
1374,5905
1375,5901
1376,5929
1377,5853
1378,5779
1379,5773
1380,5813
1381,5769
1382,5811
1383,6123
1384,6341
1385,6341
1386,6291
1387,6107
1388,6157
1389,6157
1390,6175
1391,6191
1392,6129
1393,6077
1394,6021
1395,5863
1396,5685
1397,5693
1398,5589
1399,5880
1400,5868
1401,5862
1402,5922
1403,5981
1404,5741
1405,5696
1406,5578
1407,5538
1408,5538
1409,5550
1410,5690
1411,5666
1412,5492
1413,5448
1414,5457
1415,5741
1416,5739
1417,5695
1418,5705
1419,5705
1420,5703
1421,5710
1422,5778
1423,5718
1424,5764
1425,5752
1426,5800
1427,5808
1428,6008
1429,6028
1430,6022
1431,6034
1432,5964
1433,5784
1434,5692
1435,5688
1436,5726
1437,5900
1438,5900
1439,5690
1440,5586
1441,5430
1442,5430
1443,5604
1444,5694
1445,5798
1446,5701
1447,5709
1448,5627
1449,5627
1450,5435
1451,5415
1452,5417
1453,5287
1454,5443
1455,5631
1456,5577
1457,5835
1458,5743
1459,5707
1460,5711
1461,6094
1462,6063
1463,5650
1464,5672
1465,5690
1466,5340
1467,5391
1468,5515
1469,5515
1470,5463
1471,5277
1472,5265
1473,5393
1474,5585
1475,5673
1476,5683
1477,5889
1478,5697
1479,5711
1480,5714
1481,5854
1482,5662
1483,5688
1484,5676
1485,5598
1486,5590
1487,5583
1488,5699
1489,5603
1490,5659
1491,5601
1492,5577
1493,5513
1494,5651
1495,5719
1496,5823
1497,5851
1498,6003
1499,6003
1500,6003
1501,6001
1502,6041
1503,6031
1504,5982
1505,5980
1506,5978
1507,6057
1508,5929
1509,5885
1510,5823
1511,5783
1512,5777
1513,6009
1514,6009
1515,6004
1516,6040
1517,6026
1518,6018
1519,6019
1520,5977
1521,5857
1522,5839
1523,5809
1524,5837
1525,5853
1526,5833
1527,5859
1528,5825
1529,5843
1530,5677
1531,5753
1532,5777
1533,5685
1534,5781
1535,5543
1536,5585
1537,5713
1538,5697
1539,5711
1540,5801
1541,5801
1542,5686
1543,5690
1544,5740
1545,5951
1546,5969
1547,5960
1548,5964
1549,5974
1550,6006
1551,5782
1552,5744
1553,5832
1554,5796
1555,5856
1556,5796
1557,5766
1558,5814
1559,5942
1560,6008
1561,6000
1562,6030
1563,6028
1564,6005
1565,6019
1566,6064
1567,6048
1568,5960
1569,6076
1570,6010
1571,6010
1572,5918
1573,5918
1574,5951
1575,5828
1576,5925
1577,5922
1578,5940
1579,5584
1580,5574
1581,5956
1582,5990
1583,5807
1584,5807
1585,5803
1586,5813
1587,5803
1588,5887
1589,5829
1590,5829
1591,6119
1592,6167
1593,6177
1594,6157
1595,6157
1596,6314
1597,6287
1598,6193
1599,6107
1600,6603
1601,6603
1602,6739
1603,6812
1604,6806
1605,6818
1606,6846
1607,6562
1608,6640
1609,6648
1610,6838
